,Player,Matches,Runs,Bat_ave,Wkts,Bowl_ave
818,Mamoon Latif (Belg),7,86,12.28,1,14.0
819,XM Marshall (USA),7,87,12.42,0,0.0
820,ZE Matsinhe (MOZ),7,10,3.33,7,14.42
821,M Mooketsi (BOT),7,8,0.0,0,0.0
822,M Mosehle (SA),7,105,21.0,0,0.0
823,K Motlhanka (BOT),7,115,16.42,0,0.0
824,Mudassar Muhammad (GER),7,112,16.0,0,0.0
825,Muhammad Naeem (KSA),7,125,31.25,0,0.0
826,D Muhumuza (UGA),7,114,19.0,6,14.16
827,Murid Ekrami (Belg),7,45,15.0,3,34.34
828,R Nehonde (BOT),7,61,10.16,0,0.0
829,OE Newey (GUE),7,55,11.0,0,0.0
830,JO Ngoche (KENYA),7,4,0.0,0,0.0
831,D Nikolov (BUL),7,22,7.33,3,24.33
832,A Otwani (UGA),7,141,20.14,0,0.0
833,HH Patel (MWI),7,137,27.4,2,52.0
834,H Patel (CAN),7,92,13.14,2,18.0
835,RB Patel (BUL),7,3,0.0,0,0.0
836,TK Patel (USA),7,17,0.0,0,0.0
837,RW Price (ZIM),7,10,5.0,2,107.0
838,PBB Rajapaksa (SL),7,140,28.0,0,0.0
839,Rehman Abdul (ITA),7,102,51.0,0,0.0
840,Saber Zakhil (Belg),7,160,26.66,6,27.33
841,Sajid Cheema (KSA),7,142,20.28,0,0.0
842,S Samarawickrama (SL),7,97,13.85,0,0.0
843,Sami Sohail (MWI),7,115,115.0,14,11.71
844,SV Samson (IND),7,83,11.85,0,0.0
845,Shaheryar Butt (Belg),7,294,73.5,0,0.0
846,Simandeep Singh (HKG),7,33,6.6,0,0.0
847,H Ssenyondo (UGA),7,0,0.0,0,0.0
848,P Taylor (CZK-R),7,11,11.0,8,18.0
849,J Umanath (Mex),7,69,11.5,0,0.0
850,C Waiswa (UGA),7,20,20.0,11,19.19
851,UT Yadav (IND),7,2,0.0,0,0.0
852,C Zavoiu (ROM),7,59,11.8,4,4.5
853,Zulfiqar Babar (PAK),7,27,0.0,0,0.0
854,Abdul Razzaq (PAK),6,47,11.75,2,17.5
855,Abdul Shakoor (UAE),6,35,17.5,0,0.0
856,S Adedeji (NGA),6,89,22.25,0,0.0
857,Adnan Idrees (KUW),6,259,43.16,1,67.0
858,A Ahmadhel (BUL),6,26,8.66,6,20.66
859,Ahsan Abbasi (HKG),6,80,13.33,0,0.0
860,D Ajekun (NGA),6,55,9.16,4,19.0
861,Anique Uddin (DEN),6,64,10.66,2,7.0
862,Z Arinaitwe (UGA),6,50,8.33,0,0.0
863,A Ashokan (CZK-R),6,92,15.33,2,56.5
864,HS Baidwan (CAN),6,48,9.6,8,20.75
865,B Banerjee (Mex),6,8,4.0,0,0.0
866,CD Barnwell (WI),6,78,19.5,1,51.0
867,TL Best (WI),6,17,0.0,0,0.0
868,DE Budge (SCOT),6,60,30.0,0,0.0
869,DP Conway (NZ),6,174,58.0,0,0.0
870,M Cope (LUX),6,23,11.5,10,17.5
871,FA Cossa (MOZ),6,82,20.5,2,55.0
872,S Davizi (CZK-R),6,237,39.5,7,6.14
873,LA Dawson (ENG),6,17,17.0,5,30.4
874,M de Lange (SA),6,0,0.0,0,0.0
875,IA De Silva (BUL),6,101,20.2,0,0.0
876,AB Dinda (IND),6,3,0.0,0,0.0
877,Fahad Tariq (UAE),6,19,4.75,0,0.0
878,Faizan Asif (UAE),6,80,13.33,0,0.0
879,Farhad Reza (BAN),6,22,0.0,0,0.0
880,BOP Fernando (SL),6,109,27.25,0,0.0
881,V Ganesan (GER),6,36,7.2,2,40.0
882,WT Gavera (PNG),6,3,0.0,0,0.0
883,D Gim (NGA),6,17,8.5,2,32.5
884,Jandu Hamoud (KUW),6,2,0.0,0,0.0
885,Harbhajan Singh (IND),6,24,24.0,9,13.0
886,MJ Henry (NZ),6,10,10.0,7,27.28
887,S Hirugade (Mex),6,74,12.33,6,15.33
888,AF Ifill (CAY),6,37,0.0,0,0.0
889,MM Iqbal (SCOT),6,46,15.33,2,29.5
890,S Jamil (Belg),6,53,8.83,0,0.0
891,MG Johnson (AUS),6,33,33.0,8,26.38
892,S Jora (NEP),6,101,20.2,0,0.0
893,G Kansonkho (MWI),6,26,13.0,0,0.0
894,P Kerai (KENYA),6,0,0.0,0,0.0
895,JS Kundi (KENYA),6,9,0.0,0,0.0
896,Kushal Malla (NEP),6,62,15.5,1,58.0
897,H Lakov (BUL),6,85,17.0,2,75.5
898,NCK Liyanage (MAS),6,8,0.0,0,0.0
899,T Lungameni (NAM),6,2,0.0,0,0.0
900,NJ Maddinson (AUS),6,45,11.25,0,0.0
901,RP Magar (NEP),6,52,8.66,0,0.0
902,S Mahmood (ENG),6,7,0.0,0,0.0
903,D Maisuria (BOT),6,6,6.0,11,11.0
904,JS Malhotra (USA),6,112,18.66,0,0.0
905,G Manan (ROM),6,98,19.6,0,0.0
906,P Manning (CAY),6,56,11.2,2,26.5
907,Mohammad Ahsan (KUW),6,19,0.0,0,0.0
908,Mohammad Naim (BAN),6,219,36.5,0,0.0
909,Mohammed Nurji (MWI),6,101,50.5,0,0.0
910,Mominul Haque (BAN),6,60,20.0,0,0.0
911,A Morris (CAY),6,5,2.5,6,19.0
912,RG Mukasa (UGA),6,63,10.5,0,0.0
913,Mukhtar Ahmed (PAK),6,192,32.0,0,0.0
914,TK Musakanda (ZIM),6,98,16.33,0,0.0
915,F Nsubuga (UGA),6,19,0.0,0,0.0
916,SNJ O'Keefe (AUS),6,27,6.75,3,40.0
917,AK Perera (SL),6,59,11.8,0,0.0
918,T Perera (BOT),6,101,16.83,0,0.0
919,S Periyalwar (ROM),6,154,51.34,0,0.0
920,R Pillai (GER),6,28,7.0,0,0.0
921,S Rakshit (CZK-R),6,40,10.0,2,49.5
922,AT Rayudu (IND),6,42,10.5,0,0.0
923,WJR Robertson (JER),6,1,0.0,0,0.0
924,SI Runsewe (NGA),6,74,14.8,2,11.5
925,SE Rutherford (WI),6,43,10.75,1,49.0
926,Saqib Zulfiqar (NED),6,34,8.5,2,30.5
927,Saqlain Haider (UAE),6,14,0.0,0,0.0
928,YSD Seneveratne (CAY),6,48,8.0,0,0.0
929,L Shafeeg (MDV),6,19,9.5,6,23.5
930,Shamsudheen Purat (KSA),6,118,29.5,0,0.0
931,L Sipamla (SA),6,0,0.0,0,0.0
932,DC Stovell (BER),6,42,8.4,4,31.5
933,GM Strydom (CAY),6,97,16.16,0,0.0
934,Sulaiman Ali (BUL),6,85,14.16,5,22.6
935,ES Szwarczynski (NED),6,48,12.0,0,0.0
936,Tauqeer Hussain (ESP),6,6,6.0,6,14.33
937,T Taylor (CAY),6,71,17.75,2,37.0
938,VE Tembo (MOZ),6,45,15.0,0,0.0
939,BM Tickner (NZ),6,5,0.0,0,0.0
940,RJW Topley (ENG),6,1,0.0,0,0.0
941,Usama Master (MWI),6,15,7.5,5,21.2
942,Usman Waheed (KUW),6,64,21.33,0,0.0
943,MN van Wyk (SA),6,224,44.8,0,0.0
944,S Vashisht (ROM),6,13,13.0,6,14.33
945,DL Vettori (NZ),6,18,9.0,3,56.0
946,R Vinay Kumar (IND),6,2,0.0,0,0.0
947,D Weston (GER),6,47,7.83,0,0.0
948,BM Wheeler (NZ),6,37,18.5,7,30.84
949,AR White (IRE),6,6,0.0,0,0.0
950,C Wright (CAY),6,26,8.66,2,26.5
951,HN Ya France (NAM),6,18,6.0,2,41.0
952,Yasir Arafat (PAK),6,28,7.0,10,12.1
953,Zishan Shah (DEN),6,88,22.0,0,0.0
954,M Abdulla (MWI),5,112,37.34,6,12.66
955,Abdullah Akbarjan (Aut),5,29,29.0,6,12.0
956,AS Abioye (NGA),5,0,0.0,0,0.0
957,Abul Hasan (BAN),5,14,0.0,0,0.0
958,AG Achar (SGP),5,2,0.0,0,0.0
959,SA Ahmad (DEN),5,46,23.0,4,10.0
960,Aizaz Cheema (PAK),5,0,0.0,0,0.0
961,TP Allen (USA),5,27,13.5,1,28.0
962,Amjad Ali (UAE),5,42,10.5,0,0.0
963,Amjad Sher (FIN),5,56,11.2,5,17.6
964,Aphsal Ashraf (KUW),5,53,26.5,2,20.5
965,Aqib Iqbal (Aut),5,6,0.0,0,0.0
966,V Aravind (UAE),5,19,9.5,0,0.0
967,P Arrighi (Arg),5,16,4.0,10,8.4
968,U Aryaman Sunil (SGP),5,37,9.25,4,21.75
969,Awais Zia (PAK),5,70,14.0,0,0.0
970,L Balaji (IND),5,0,0.0,0,0.0
971,P Baron (Arg),5,43,14.33,0,0.0
972,P Bhart (NOR),5,3,3.0,3,22.66
973,Bilal Zalmai (Aut),5,208,69.3,9,7.33
974,DL Brangman (BER),5,23,11.5,1,84.0
975,G Chaturvedi (MLT),5,101,25.25,0,0.0
976,NG Collins (FIN),5,151,30.2,0,0.0
977,H Dandapani (FIN),5,8,0.0,0,0.0
978,M Dixit (LUX),5,56,18.66,2,59.5
979,BR Dunk (AUS),5,99,19.8,0,0.0
980,KR Ebanks (CAY),5,15,0.0,0,0.0
981,Ehsan Nawaz (HKG),5,0,0.0,0,0.0
982,AM Ellis (NZ),5,25,8.33,2,52.5
983,L Emilio (MOZ),5,44,11.0,0,0.0
984,R Escobar (Arg),5,68,22.66,0,0.0
985,H Fennell (Arg),5,27,9.0,8,7.12
986,A Ferguson (Arg),5,88,44.0,0,0.0
987,R Gaznavi (SGP),5,12,0.0,0,0.0
988,AM Guruge (UAE),5,3,3.0,5,25.0
989,Hammad Azam (PAK),5,34,11.33,0,0.0
990,C Hauptfleisch (CAY),5,69,13.8,0,0.0
991,L Hermida (Mex),5,35,11.66,8,11.75
992,H Hiri (PNG),5,9,0.0,0,0.0
993,A Husain (Arg),5,2,0.0,0,0.0
994,DP Hyatt (WI),5,64,16.0,0,0.0
995,Ibrarul Haq (KSA),5,69,17.25,7,16.56
996,Ijaz Hussain (ROM),5,80,26.66,5,22.8
997,CA Ingram (SA),5,118,23.6,0,0.0
998,Jaspreet Singh (ITA),5,19,9.5,1,53.0
999,K Joshi (Aut),5,41,20.5,0,0.0
1000,Junaid Sheikh (NOR),5,19,0.0,0,0.0
1001,Z Khan (IND),5,0,0.0,0,0.0
1002,Khizer Ahmed (NOR),5,32,16.0,0,0.0
1003,NR Kirton (CAN),5,75,25.0,0,0.0
1004,AK Kitchen (NZ),5,38,12.66,2,23.0
1005,A Lark (Aut),5,110,27.5,4,13.75
1006,CJ McKay (AUS),5,13,0.0,0,0.0
1007,W Madhevere (ZIM),5,107,26.75,1,57.0
1008,SW Masakadza (ZIM),5,17,0.0,0,0.0
1009,Md Nurul Huda (FIN),5,50,25.0,9,13.11
1010,CAJ Meschede (GER),5,179,44.75,6,19.16
1011,TS Mills (ENG/ICC),5,0,0.0,0,0.0
1012,Mohammad Adnan (KSA),5,60,0.0,0,0.0
1013,Mohammad Ghazanfar (HKG),5,10,10.0,3,28.33
1014,AK Mohan (FIN),5,82,16.4,0,0.0
1015,VV Morea (PNG),5,35,7.0,0,0.0
1016,Muaviath Ganee (MDV),5,42,10.5,0,0.0
1017,Muhammad Khurram (MWI),5,4,0.0,0,0.0
1018,Muhammad Nadeem (KSA),5,48,16.0,5,9.8
1019,JM Muirhead (AUS),5,4,0.0,0,0.0
1020,T Munyonga (ZIM),5,45,45.0,0,0.0
1021,N M'shangwe (ZIM),5,5,5.0,4,35.5
1022,LA Musiani (Arg),5,40,10.0,2,34.5
1023,A Nanda (LUX),5,7,0.0,0,0.0
1024,A Nathwani (Aut),5,1,0.0,0,0.0
1025,Naveen-ul-Haq (AFG),5,7,0.0,0,0.0
1026,A Neill (SCOT),5,0,0.0,0,0.0
1027,HM Nicholls (NZ),5,19,0.0,0,0.0
1028,A Nortje (SA),5,2,0.0,0,0.0
1029,H Osinde (CAN),5,28,9.33,4,34.5
1030,VS Padhaal (FIN),5,31,6.2,0,0.0
1031,SD Parry (ENG),5,1,0.0,0,0.0
1032,SS Pathirana (SL),5,27,5.4,5,23.8
1033,C Pengkumta (THA),5,29,14.5,0,0.0
1034,A Pusthay (FIN),5,72,14.4,2,45.0
1035,Raja Adeel (ESP),5,0,0.0,0,0.0
1036,Ravinder Singh (MLT),5,48,16.0,1,72.0
1037,Raza-ur-Rehman (CAN),5,25,6.25,2,29.0
1038,Raza Iqbal (NOR),5,87,17.4,5,17.0
1039,Razmal Shigiwal (Aut),5,100,33.34,0,0.0
1040,MJ Richardson (GER),5,115,57.5,0,0.0
1041,CP Rizwan (UAE),5,80,20.0,0,0.0
1042,Rizwan Mahmood (DEN),5,76,19.0,0,0.0
1043,S Rossi (Arg),5,29,9.66,4,5.25
1044,JD Ryder (NZ),5,127,42.34,0,0.0
1045,S Saeed (MDV),5,2,0.0,0,0.0
1046,MM Sarwar (KUW),5,9,0.0,0,0.0
1047,Sayed Monib (KUW),5,19,9.5,7,19.0
1048,V Sehwag (IND),5,81,16.2,0,0.0
1049,Shahbaz Badar (BHR),5,66,13.2,0,0.0
1050,A Sharafu (UAE),5,34,11.33,0,0.0
1051,D Sheeli (KUW),5,41,8.2,0,0.0
1052,ZK Shem (VAN),5,1,0.0,0,0.0
1053,Shoaib Qureshi (FIN),5,27,6.75,6,18.16
1054,Shuvagata Hom (BAN),5,35,17.5,2,35.5
1055,S Smith (BER),5,14,0.0,0,0.0
1056,JH Stander (SCOT),5,41,10.25,2,21.0
1057,Tafseer Ali (NOR),5,31,10.33,1,37.0
1058,Tanveer Ahmed (HKG),5,7,7.0,3,38.66
1059,J Theron (SA),5,32,0.0,0,0.0
1060,JJ Tucker (BER),5,94,23.5,1,62.0
1061,E Ul Haq (NOR),5,21,4.2,0,0.0
1062,Usman Patel (KUW),5,122,40.66,0,0.0
1063,PJ van Biljon (SA),5,31,15.5,0,0.0
1064,R van der Merwe (Arg),5,1,0.0,0,0.0
1065,DV Varghese (BUL),5,3,0.0,0,0.0
1066,S Waqas Ahmed (NOR),5,9,4.5,5,16.6
1067,Waseem Abbas (MLT),5,33,33.0,2,66.0
1068,SMK Waththage (CZK-R),5,3,0.0,0,0.0
1069,AA Westphal (Mex),5,33,6.6,5,13.0
1070,BTJ Wheal (SCOT),5,2,0.0,0,0.0
1071,Zeeshan Siddiqui (OMA),5,60,15.0,0,0.0
1072,Zulqarnain Haider (ESP),5,0,0.0,0,0.0
1073,Aamer Ikram (PORT),4,58,14.5,0,0.0
1074,Abdul Majid Malik (BHR),4,15,15.0,8,9.75
1075,Abdul Shakoor (ROM),4,27,13.5,0,0.0
1076,IKO Aboagye (GHA),4,16,0.0,0,0.0
1077,Abrar Bilal (Aut),4,55,27.5,0,0.0
1078,F Achelam (UGA),4,12,0.0,0,0.0
1079,Adil Hanif (BHR),4,24,12.0,0,0.0
1080,Ainool Haqqiem (MAS),4,20,20.0,0,0.0
1081,Ali Naqi (PORT),4,0,0.0,0,0.0
1082,HS Alta (TKY),4,1,0.33,0,0.0
1083,Ameer Saiyed (BOT),4,38,12.66,0,0.0
1084,Amir Hayat (UAE),4,3,0.0,0,0.0
1085,Amjad Khan (UAE),4,28,9.33,0,0.0
1086,J Anderson (IRE),4,12,0.0,0,0.0
1087,DK Anefie (GHA),4,34,17.0,0,0.0
1088,DNA Ankrah (GHA),4,22,7.33,2,42.5
1089,Anowarul Islam (THA),4,15,0.0,0,0.0
1090,Ansar Iqbal (NOR),4,64,16.0,0,0.0
1091,S Appu (MLT),4,8,0.0,0,0.0
1092,S Arachchige (ITA),4,0,0.0,0,0.0
1093,B Arora (MLT),4,64,16.0,1,75.0
1094,V Ateak (GHA),4,1,0.0,0,0.0
1095,Atif Kamal (LUX),4,11,3.66,2,45.0
1096,R Avery (BRA),4,10,0.0,0,0.0
1097,F Baaleri (GHA),4,42,10.5,0,0.0
1098,KS Bagabena (GHA),4,32,32.0,0,0.0
1099,JD Baker (Samoa),4,18,0.0,0,0.0
1100,R Bakum (GHA),4,45,11.25,0,0.0
1101,TC Barker (LUX),4,27,6.75,0,0.0
1102,Bashir Shah (DEN),4,2,0.0,0,0.0
1103,Basil Hameed (UAE),4,37,12.33,0,0.0
1104,A Bhagwat (HKG),4,5,0.0,0,0.0
1105,RA Bhatti (CAN),4,25,8.33,0,0.0
1106,SR Bhudia (KENYA),4,4,0.0,0,0.0
1107,MP Biddappa (PHI),4,35,35.0,0,0.0
1108,K Birkenstock (NAM),4,64,32.0,0,0.0
1109,PRP Boissevain (NED),4,7,7.0,3,38.66
1110,PR Brown (ENG),4,4,0.0,0,0.0
1111,S Browne (LUX),4,41,10.25,0,0.0
1112,P Buccimazza (PORT),4,2,0.0,0,0.0
1113,NB Budayair (NEP),4,7,0.0,0,0.0
1114,DE Burgess (Samoa),4,6,0.0,0,0.0
1115,IG Butler (NZ),4,1,0.0,0,0.0
1116,G Caisley (BRA),4,52,13.0,0,0.0
1117,A Carthew (Chile),4,2,0.0,0,0.0
1118,PP Chawla (IND),4,0,0.0,0,0.0
1119,LA Collado (GIBR),4,18,0.0,0,0.0
1120,WJ Cope (LUX),4,13,13.0,6,11.66
1121,SJ Cotter (Samoa),4,52,13.0,0,0.0
1122,P Danci (ROM),4,19,9.5,0,0.0
1123,CJ Delany (GIBR),4,37,9.25,0,0.0
1124,AP Devcich (NZ),4,111,27.75,2,40.0
1125,SDJJ Dima (MOZ),4,6,0.0,0,0.0
1126,J Dunn (VAN),4,36,12.0,0,0.0
1127,AB Dursak (TKY),4,4,0.0,0,0.0
1128,RR Emrit (WI),4,17,5.66,4,39.0
1129,L Evile (Samoa),4,6,0.0,0,0.0
1130,Fakhrul Mohon (PORT),4,0,0.0,0,0.0
1131,JA Fitzgerald (GIBR),4,13,0.0,0,0.0
1132,R Flannigan (SCOT),4,38,12.66,0,0.0
1133,BC Fortuin (SA),4,0,0.0,3,26.66
1134,JD Freyone (GIBR),4,8,0.0,0,0.0
1135,CJ Gannon (USA),4,12,12.0,3,22.33
1136,MD Garratt (GIBR),4,1,0.0,0,0.0
1137,K Gilham (CZK-R),4,3,0.0,0,0.0
1138,R Goodwin (PHI),4,26,8.66,0,0.0
1139,K Gore (USA),4,4,0.0,0,0.0
1140,K Gupta (Chile),4,46,15.33,0,0.0
1141,Hafez Farooq (Peru),4,69,17.25,2,7.0
1142,S Hallett (Peru),4,10,0.0,0,0.0
1143,LHB Harrington-Myers (CAY),4,32,10.66,2,13.0
1144,Hayatullah Niazi (NOR),4,59,19.66,3,27.0
1145,H Helva (TKY),4,12,0.0,0,0.0
1146,J Hill (PHI),4,15,0.0,0,0.0
1147,Hirenkumar Patel (Chile),4,74,18.5,7,11.71
1148,J Hirschi (MLT),4,37,9.25,3,32.0
1149,MG Hunter (GIBR),4,45,15.0,4,15.75
1150,Imran Ali (KUW),4,5,5.0,7,19.42
1151,Imran Ashraf (QAT),4,0,0.0,0,0.0
1152,Imran Butt (BHR),4,30,10.0,5,20.8
1153,Imran Khan (PORT),4,39,19.5,0,0.0
1154,Irfan Bhima (MWI),4,98,24.5,6,8.5
1155,Irfan Mir (Chile),4,19,19.0,1,73.0
1156,Ismat Ullah (BRA),4,44,11.0,1,16.0
1157,Jagjit Singh (Peru),4,24,6.0,0,0.0
1158,KA Jamieson (NZ),4,0,0.0,0,0.0
1159,Jasdeep Singh (USA),4,31,15.5,7,20.0
1160,NG Jones (IRE),4,28,28.0,0,0.0
1161,Junaid Aziz (BHR),4,51,25.5,2,24.0
1162,S Kansoy (TKY),4,2,0.0,0,0.0
1163,Karweng NG (PHI),4,21,7.0,0,0.0
1164,D Kegasitswe (BOT),4,5,0.0,0,0.0
1165,AN Kervezee (NED),4,154,51.34,0,0.0
1166,Khalid Ahmadi (Belg),4,39,39.0,6,13.16
1167,N Khosla (MLT),4,84,21.0,0,0.0
1168,JH Kiani (PHI),4,25,12.5,1,26.0
1169,VJ Kingma (NED),4,1,0.0,0,0.0
1170,S Kizilkaya (TKY),4,17,0.0,0,0.0
1171,RK Kleinveldt (SA),4,22,22.0,6,17.5
1172,AC Kose (TKY),4,15,3.75,3,38.66
1173,HG Kuhn (SA),4,43,14.33,0,0.0
1174,Kuldeep Singh (PHI),4,8,0.0,0,0.0
1175,R Kumar (ROM),4,37,18.5,5,19.6
1176,S Kushretha (LUX),4,37,12.33,1,102.0
1177,Mahedi Hasan (BAN),4,20,10.0,1,96.0
1178,BF Mailata (Samoa),4,38,9.5,0,0.0
1179,GT Main (SCOT),4,0,0.0,0,0.0
1180,A Makesh (KUW),4,57,57.0,1,79.0
1181,MSS Mandy (Chile),4,54,13.5,3,14.33
1182,V Mbazo (BOT),4,51,25.5,0,0.0
1183,Md Shafiqul Haque (THA),4,88,22.0,1,25.0
1184,NSK Mehta (Belg),4,0,0.0,0,0.0
1185,PHKD Mendis (SL),4,66,16.5,0,0.0
1186,Mien Mehmood (PORT),4,29,7.25,0,0.0
1187,AJ Michael (Samoa),4,67,22.33,0,0.0
1188,DP Michael (Samoa),4,85,28.33,1,32.0
1189,Mirza Ahsan (Aut),4,66,66.0,0,0.0
1190,Mohammed Asghar (KUW),4,124,31.0,0,0.0
1191,Mohsin Hub (Peru),4,36,12.0,2,19.5
1192,Muhammad Ansar (KUW),4,5,0.0,0,0.0
1193,Muhammad Hamayun (KSA),4,13,0.0,0,0.0
1194,Muhammad Muneeb (Belg),4,12,0.0,0,0.0
1195,Muhammad Saleem (BRA),4,59,14.75,5,9.0
1196,Muhammad Wafiq (MAS),4,9,4.5,5,22.8
1197,JK Mukhiya (NEP),4,0,0.0,0,0.0
1198,FF Mulivai (Samoa),4,70,17.5,0,0.0
1199,D Murphy (SCOT),4,35,35.0,0,0.0
1200,Musawar Shah (QAT),4,0,0.0,0,0.0
1201,Najjam Shahzad (PORT),4,126,126.0,4,16.25
1202,DM Nakrani (UGA),4,52,17.33,5,18.6
1203,N Nankov (BUL),4,15,7.5,1,28.0
1204,Nazwan Ismail (MDV),4,7,0.0,0,0.0
1205,K Nestor (GIBR),4,33,11.0,0,0.0
1206,F Nkhoma (MWI),4,0,0.0,0,0.0
1207,DO Obuya (KENYA),4,46,11.5,0,0.0
1208,HC Overdijk (NED),4,13,13.0,3,24.0
1209,E Packard (GIBR),4,40,10.0,2,39.5
1210,BA Pai (GIBR),4,124,31.0,6,13.66
1211,I Pandey (NEP),4,33,8.25,0,0.0
1212,NK Patel (USA),4,5,5.0,5,12.2
1213,YK Pathan (IND),4,31,15.5,3,29.0
1214,JL Pattinson (AUS),4,5,0.0,0,0.0
1215,J Perman (ESP),4,1,0.0,0,0.0
1216,P Suanchuai (THA),4,18,6.0,0,0.0
1217,H Pragji (BOT),4,38,12.66,0,0.0
1218,Qalandar Khan (QAT),4,48,16.0,0,0.0
1219,Raag Kapur (HKG),4,12,0.0,0,0.0
1220,A Rangaswamy (BOT),4,10,0.0,0,0.0
1221,Riazat Ali Shah (UGA),4,140,70.0,1,58.0
1222,Robert Raina (THA),4,35,8.75,0,0.0
1223,LH Rodrigues (BRA),4,7,7.0,5,12.2
1224,TK Saha (FIN),4,26,26.0,2,44.0
1225,V Saini (ROM),4,65,32.5,3,25.0
1226,A Sarma (GER),4,57,19.0,0,0.0
1227,Sayed Shirzad (AFG),4,1,0.0,0,0.0
1228,Sazzad Hosen (Belg),4,73,18.25,0,0.0
1229,N Senamontree (THA),4,8,0.0,0,0.0
1230,M Sert (TKY),4,42,14.0,3,31.0
1231,Shafraz Jaleel (MDV),4,17,5.66,0,0.0
1232,Shaikh Ashraf (Peru),4,82,20.5,1,34.0
1233,PH Shamdasani (Peru),4,61,20.33,6,11.66
1234,Shoaib Gazi Hossain (Chile),4,2,0.0,0,0.0
1235,P Silas (BOT),4,39,13.0,0,0.0
1236,S Singh (PHI),4,0,0.0,0,0.0
1237,RM Siri (Arg),4,82,27.33,0,0.0
1238,DC Smith (PHI),4,49,16.33,3,29.66
1239,Sohail Khan (PAK),4,1,0.0,0,0.0
1240,S Sola (Samoa),4,37,12.33,0,0.0
1241,CB Sole (SCOT),4,4,0.0,0,0.0
1242,M Spry (Peru),4,5,5.0,7,8.85
1243,A Srivastav (Chile),4,25,6.25,3,24.33
1244,F Stoman (PORT),4,40,13.33,0,0.0
1245,Sufyan Mehmood (OMA),4,19,19.0,2,29.5
1246,MJ Swepson (AUS),4,15,0.0,0,0.0
1247,Tahir Dar (BHR),4,25,12.5,3,42.66
1248,T Taibu (ZIM),4,70,35.0,0,0.0
1249,SW Tait (AUS),4,1,0.0,0,0.0
